N° ocorrência;Data;Matrícula;Classificação;Tipo;Localidade;UF;Aeródromo;Operação;Status
77276;30/11/2017;PRMBG;INCIDENTE GRAVE;EXCURSÃO DE PISTA, OUTROS;BRASÍLIA;DF;SBBR;REGULAR;FINALIZADA
77285;29/11/2017;PTMCX;INCIDENTE;***;PORTO ALEGRE;RS;SBPA;PRIVADA;FINALIZADA
77289;28/11/2017;PRAQA;INCIDENTE;***;VITÓRIA DA CONQUISTA;BA;SBVC;REGULAR;FINALIZADA
77288;28/11/2017;PRDDQ;INCIDENTE;***;CURITIBA;PR;SBBI;TÁXI AÉREO;FINALIZADA
77296;27/11/2017;PPCTC;INCIDENTE;***;LONDRINA;PR;SBLO;PRIVADA;FINALIZADA
77294;27/11/2017;PTWGF;INCIDENTE;***;SÃO PAULO;SP;SBSP;TÁXI AÉREO;FINALIZADA
77299;26/11/2017;PTVUU;ACIDENTE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO;SÃO DESIDÉRIO;BA;***;AGRÍCOLA;FINALIZADA
77298;26/11/2017;PRMHW;INCIDENTE;***;FLORIANÓPOLIS;SC;SBFL;REGULAR;FINALIZADA
77297;26/11/2017;PPSGO;INCIDENTE GRAVE;EXCURSÃO DE PISTA, PERDA DE CONTROLE NO SOLO;CORRENTINA;BA;***;AGRÍCOLA;FINALIZADA
77303;25/11/2017;PRTTP;INCIDENTE;***;SÃO JOSÉ DOS PINHAIS;PR;SBCT;REGULAR;FINALIZADA
77301;25/11/2017;PTUZI;ACIDENTE;EXCURSÃO DE PISTA, FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE;UBARANA;SP;SDTO;AGRÍCOLA;FINALIZADA
77304;24/11/2017;PTURV;ACIDENTE;PERDA DE CONTROLE EM VOO;ARARI;MA;***;AGRÍCOLA;FINALIZADA
77307;23/11/2017;PRAXS;INCIDENTE;***;PORTO ALEGRE;RS;SBPA;REGULAR;FINALIZADA
77306;23/11/2017;PTJMQ;ACIDENTE;FALHA OU MAU FUNCIONAMENTO DO MOTOR;ITAITUBA;PA;***;PRIVADA;FINALIZADA
77311;21/11/2017;PTEZR;INCIDENTE;***;TABATINGA;AM;SBTT;TÁXI AÉREO;FINALIZADA
77312;20/11/2017;PTMCC;INCIDENTE;***;CARATINGA;MG;SNCT;PRIVADA;FINALIZADA
77316;19/11/2017;PRMFP;ACIDENTE;EXCURSÃO DE PISTA;SÃO PAULO;SP;SBMT;PRIVADA;FINALIZADA
